0,102,8
1,117,7
2,47,10
3,86,12
4,94,8
5,50,11
6,89,7
7,48,12
8,52,10
9,95,10
10,198,5
11,96,6
12,32,10
13,68,13
14,131,8
15,122,7
16,95,11
17,74,9
18,46,9
19,151,6
20,130,6
21,77,7
22,78,9
23,102,5
24,100,7
25,103,15
26,89,5
27,44,10
28,57,13
29,267,8
30,1082,7
31,194,9
32,70,10
33,203,5
34,80,7
35,69,8
36,36,14
37,132,5
38,152,8
39,49,7
40,114,7
41,52,8
42,43,11
43,62,7
44,68,6
45,66,15
46,106,5
47,71,14
48,31,15
49,40,16
50,60,8
51,63,8
52,130,10
53,125,6
54,112,7
55,1040,8
56,358924,2
57,1.43486e+06,6
58,1.27774e+06,5
59,3.95793e+06,5
60,3.85493e+06,4
61,2.8381e+06,4
62,1.36294e+06,7
63,3.41273e+06,5
64,3.35191e+06,4
65,4.41016e+06,6
66,2.33943e+06,6
67,6.42883e+06,6
68,5.31919e+06,6
69,4.87286e+06,6
70,4.59507e+06,5
71,5.94531e+06,5
72,3.71193e+06,5
73,1.76931e+06,6
74,3.86096e+06,11
75,2.35702e+06,5
76,955651,5
77,1.48789e+06,4
78,897502,9
79,779032,4
80,479075,4
81,94243,8
82,107420,11
83,160246,33
84,924730,8
85,1.42626e+06,4
86,839660,10
87,219051,22
88,112507,39
89,127081,29
90,82658,68
91,51185,77
92,66611,64
93,53006,79
94,41701,52
95,42686,56
96,43065,64
97,40923,62
98,69977,80
99,50461,74
100,31100,74
101,53346,71
102,59269,66
103,77686,78
104,24494,69
105,48837,84
106,30865,75
107,74819,79
108,42102,73
109,39816,76
110,50672,73
111,48169,76
112,62417,73
113,56887,77
114,50004,76
115,75039,76
116,59047,72
117,43673,75
118,56490,76
119,58617,76
120,45236,74
121,44697,74
122,38645,75
123,60548,76
124,29288,73
125,52207,75
126,30237,70
127,38815,75
128,17257,71
129,37999,73
130,18920,73
131,37796,71
132,23411,74
133,37889,77
134,39284,75
135,33447,74
136,16897,74
137,13863,78
138,28115,79
139,16881,76
140,19500,71
141,14897,68
142,4556,76
143,3813,74
144,12268,35
145,7250,70
146,2860,71
147,4076,70
148,3863,74
149,2182,68
150,895,56
151,1496,61
152,998,55
153,336,42
154,358,54
155,392,43
156,520,49
157,371,58
158,188,51
159,553,23
160,1144,20
161,419,72
162,293,65
163,807,70
164,444,69
165,390,53
166,109,50
167,335,38
168,508,26
